ID,Duration,Role,Age_Group,Shop_Type,Shop_Loc,Rider_Cust_Rate,Current_Stay_Status,Collab_Intent,Merchant_Concern_M,Incentive_Pref_M,Merchant_Idea_Open
2,365,社区周边商户,18-24岁,药店/诊所,是，在100米内,很少,偶尔有,非常愿意,安全责任问题,水电补贴,
7,936,社区周边商户,31-40岁,药店/诊所,是，在100米内,是，经常来,经常有,可以考虑,影响店面卫生,"平台流量曝光,水电补贴",
9,361,社区周边商户,25-30岁,其他服务店,否,是，经常来,经常有,非常愿意,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",
28,559,社区周边商户,41岁及以上,便利店/小超市,是，在100米内,很少,从未有过,非常愿意,"影响店面卫生,安全责任问题",水电补贴,
45,262,社区周边商户,31-40岁,药店/诊所,是，在100米内,是，经常来,经常有,非常愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
46,609,社区周边商户,25-30岁,其他服务店,否,是，经常来,很少有,可以考虑,安全责任问题,"水电补贴,平台流量曝光",
48,400,社区周边商户,18-24岁,餐饮店,是，在100米内,是，经常来,很少有,可以考虑,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",
51,199,社区周边商户,41岁及以上,便利店/小超市,是，就在小区门口,偶尔来,经常有,可以考虑,"影响店面卫生,安全责任问题",水电补贴,
52,253,社区周边商户,31-40岁,便利店/小超市,是，就在小区门口,是，经常来,经常有,不愿意,影响店面卫生,"水电补贴,平台流量曝光",
60,288,社区周边商户,41岁及以上,餐饮店,是，在100米内,很少,从未有过,可以考虑,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",
67,495,社区周边商户,31-40岁,药店/诊所,是，就在小区门口,偶尔来,很少有,可以考虑,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",
74,369,社区周边商户,25-30岁,药店/诊所,是，在100米内,是，经常来,很少有,不愿意,影响店面卫生,水电补贴,
80,501,社区周边商户,41岁及以上,餐饮店,否,很少,从未有过,非常愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
87,365,社区周边商户,41岁及以上,药店/诊所,否,偶尔来,从未有过,非常愿意,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",
90,732,社区周边商户,31-40岁,药店/诊所,是，就在小区门口,是，经常来,很少有,非常愿意,"影响店面卫生,安全责任问题",水电补贴,
93,647,社区周边商户,31-40岁,便利店/小超市,是，在100米内,偶尔来,很少有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,
98,270,社区周边商户,18-24岁,其他服务店,是，就在小区门口,是，经常来,很少有,非常愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",
100,539,社区周边商户,41岁及以上,便利店/小超市,否,是，经常来,偶尔有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,
103,766,社区周边商户,41岁及以上,便利店/小超市,是，就在小区门口,很少,从未有过,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,
109,793,社区周边商户,41岁及以上,便利店/小超市,是，在100米内,是，经常来,偶尔有,不愿意,"安全责任问题,影响店面卫生",平台流量曝光,
137,186,社区周边商户,18-24岁,药店/诊所,是，在100米内,偶尔来,从未有过,可以考虑,影响店面卫生,"水电补贴,平台流量曝光",
142,233,社区周边商户,25-30岁,便利店/小超市,是，就在小区门口,很少,偶尔有,可以考虑,影响店面卫生,"水电补贴,平台流量曝光",
143,708,社区周边商户,41岁及以上,餐饮店,否,偶尔来,偶尔有,非常愿意,"安全责任问题,影响店面卫生",水电补贴,
145,666,社区周边商户,41岁及以上,药店/诊所,是，在100米内,很少,偶尔有,非常愿意,影响店面卫生,水电补贴,
147,662,社区周边商户,31-40岁,餐饮店,否,是，经常来,偶尔有,不愿意,影响店面卫生,水电补贴,
151,680,社区周边商户,18-24岁,餐饮店,是，就在小区门口,是，经常来,从未有过,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,
162,359,社区周边商户,31-40岁,便利店/小超市,否,偶尔来,从未有过,不愿意,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",
164,734,社区周边商户,18-24岁,药店/诊所,否,很少,从未有过,可以考虑,"影响店面卫生,安全责任问题",平台流量曝光,
173,360,社区周边商户,18-24岁,药店/诊所,是，就在小区门口,是，经常来,很少有,可以考虑,影响店面卫生,水电补贴,
174,606,社区周边商户,25-30岁,药店/诊所,是，就在小区门口,很少,很少有,不愿意,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",
176,154,社区周边商户,41岁及以上,餐饮店,是，就在小区门口,偶尔来,从未有过,非常愿意,安全责任问题,"水电补贴,平台流量曝光",
183,565,社区周边商户,31-40岁,其他服务店,是，在100米内,是，经常来,经常有,可以考虑,安全责任问题,"平台流量曝光,水电补贴",
184,474,社区周边商户,18-24岁,其他服务店,是，在100米内,偶尔来,经常有,不愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
186,192,社区周边商户,31-40岁,餐饮店,否,偶尔来,很少有,不愿意,安全责任问题,水电补贴,
188,239,社区周边商户,25-30岁,餐饮店,是，在100米内,很少,很少有,不愿意,影响店面卫生,"水电补贴,平台流量曝光",
197,111,社区周边商户,31-40岁,其他服务店,是，就在小区门口,很少,偶尔有,非常愿意,"影响店面卫生,安全责任问题",平台流量曝光,
202,922,社区周边商户,25-30岁,药店/诊所,否,是，经常来,从未有过,可以考虑,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
204,257,社区周边商户,18-24岁,其他服务店,否,偶尔来,经常有,不愿意,安全责任问题,平台流量曝光,
213,335,社区周边商户,25-30岁,便利店/小超市,是，就在小区门口,很少,从未有过,可以考虑,安全责任问题,水电补贴,
215,331,社区周边商户,18-24岁,便利店/小超市,否,是，经常来,从未有过,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,
223,547,社区周边商户,18-24岁,其他服务店,是，就在小区门口,是，经常来,很少有,非常愿意,安全责任问题,"水电补贴,平台流量曝光",
227,280,社区周边商户,25-30岁,便利店/小超市,否,是，经常来,偶尔有,非常愿意,"安全责任问题,影响店面卫生",水电补贴,
239,576,社区周边商户,41岁及以上,药店/诊所,是，就在小区门口,是，经常来,经常有,不愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",
243,1277,社区周边商户,31-40岁,其他服务店,否,是，经常来,很少有,可以考虑,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",
248,346,社区周边商户,18-24岁,便利店/小超市,否,偶尔来,从未有过,不愿意,安全责任问题,水电补贴,
252,385,社区周边商户,31-40岁,其他服务店,是，就在小区门口,很少,从未有过,不愿意,安全责任问题,"平台流量曝光,水电补贴",
256,533,社区周边商户,41岁及以上,餐饮店,是，就在小区门口,偶尔来,偶尔有,不愿意,"安全责任问题,影响店面卫生",水电补贴,
259,247,社区周边商户,18-24岁,其他服务店,是，就在小区门口,是，经常来,从未有过,非常愿意,"影响店面卫生,安全责任问题",水电补贴,
282,228,社区周边商户,18-24岁,药店/诊所,是，在100米内,偶尔来,从未有过,不愿意,"影响店面卫生,安全责任问题",水电补贴,
283,870,社区周边商户,18-24岁,药店/诊所,是，就在小区门口,是，经常来,很少有,可以考虑,安全责任问题,平台流量曝光,
285,153,社区周边商户,25-30岁,便利店/小超市,否,很少,从未有过,不愿意,影响店面卫生,"水电补贴,平台流量曝光",
287,153,社区周边商户,25-30岁,药店/诊所,是，就在小区门口,偶尔来,经常有,非常愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
288,270,社区周边商户,25-30岁,药店/诊所,是，在100米内,很少,偶尔有,可以考虑,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",
297,284,社区周边商户,18-24岁,药店/诊所,是，就在小区门口,偶尔来,偶尔有,非常愿意,影响店面卫生,平台流量曝光,
300,239,社区周边商户,18-24岁,其他服务店,否,偶尔来,从未有过,非常愿意,安全责任问题,平台流量曝光,
304,249,社区周边商户,25-30岁,其他服务店,否,很少,偶尔有,不愿意,"影响店面卫生,安全责任问题",平台流量曝光,
312,356,社区周边商户,31-40岁,药店/诊所,是，就在小区门口,很少,从未有过,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,
325,1098,社区周边商户,18-24岁,其他服务店,是，就在小区门口,很少,从未有过,可以考虑,"安全责任问题,影响店面卫生",水电补贴,
328,324,社区周边商户,31-40岁,其他服务店,是，就在小区门口,很少,很少有,不愿意,影响店面卫生,"平台流量曝光,水电补贴",
336,858,社区周边商户,25-30岁,药店/诊所,是，在100米内,偶尔来,从未有过,不愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
350,224,社区周边商户,31-40岁,餐饮店,是，在100米内,很少,偶尔有,非常愿意,安全责任问题,"水电补贴,平台流量曝光",
353,221,社区周边商户,31-40岁,餐饮店,否,偶尔来,很少有,可以考虑,安全责任问题,水电补贴,
358,211,社区周边商户,31-40岁,药店/诊所,否,很少,偶尔有,不愿意,"安全责任问题,影响店面卫生",水电补贴,
360,310,社区周边商户,41岁及以上,餐饮店,是，在100米内,偶尔来,很少有,不愿意,影响店面卫生,"水电补贴,平台流量曝光",
363,453,社区周边商户,25-30岁,其他服务店,是，就在小区门口,偶尔来,经常有,不愿意,安全责任问题,平台流量曝光,
366,313,社区周边商户,25-30岁,餐饮店,是，在100米内,是，经常来,偶尔有,非常愿意,安全责任问题,"水电补贴,平台流量曝光",
367,162,社区周边商户,18-24岁,药店/诊所,是，就在小区门口,偶尔来,经常有,不愿意,"安全责任问题,影响店面卫生",平台流量曝光,
370,208,社区周边商户,18-24岁,药店/诊所,是，就在小区门口,是，经常来,偶尔有,非常愿意,安全责任问题,"水电补贴,平台流量曝光",
380,589,社区周边商户,31-40岁,便利店/小超市,是，在100米内,是，经常来,经常有,可以考虑,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",
386,330,社区周边商户,18-24岁,餐饮店,否,是，经常来,经常有,非常愿意,"影响店面卫生,安全责任问题",水电补贴,
387,184,社区周边商户,18-24岁,其他服务店,是，在100米内,偶尔来,经常有,不愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
398,400,社区周边商户,31-40岁,餐饮店,否,偶尔来,从未有过,非常愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",
402,859,社区周边商户,41岁及以上,其他服务店,否,偶尔来,从未有过,可以考虑,"影响店面卫生,安全责任问题",平台流量曝光,
405,1082,社区周边商户,25-30岁,药店/诊所,是，在100米内,偶尔来,偶尔有,可以考虑,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",
417,145,社区周边商户,18-24岁,其他服务店,是，就在小区门口,偶尔来,很少有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,
418,160,社区周边商户,18-24岁,其他服务店,是，在100米内,偶尔来,很少有,非常愿意,影响店面卫生,"平台流量曝光,水电补贴",
419,226,社区周边商户,41岁及以上,药店/诊所,否,很少,偶尔有,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,
423,171,社区周边商户,41岁及以上,餐饮店,否,是，经常来,经常有,不愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",
431,177,社区周边商户,18-24岁,其他服务店,是，就在小区门口,很少,很少有,非常愿意,影响店面卫生,水电补贴,
432,120,社区周边商户,41岁及以上,便利店/小超市,是，在100米内,偶尔来,经常有,不愿意,"影响店面卫生,安全责任问题","平台流量曝光,水电补贴",
438,341,社区周边商户,31-40岁,便利店/小超市,是，在100米内,是，经常来,很少有,非常愿意,安全责任问题,"水电补贴,平台流量曝光",
439,233,社区周边商户,31-40岁,其他服务店,是，在100米内,很少,很少有,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,
441,198,社区周边商户,41岁及以上,其他服务店,是，在100米内,偶尔来,偶尔有,可以考虑,影响店面卫生,"平台流量曝光,水电补贴",
443,809,社区周边商户,25-30岁,其他服务店,是，在100米内,偶尔来,经常有,不愿意,影响店面卫生,平台流量曝光,
454,363,社区周边商户,18-24岁,餐饮店,否,偶尔来,偶尔有,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,
458,248,社区周边商户,31-40岁,药店/诊所,是，在100米内,偶尔来,从未有过,可以考虑,安全责任问题,"水电补贴,平台流量曝光",
466,539,社区周边商户,18-24岁,其他服务店,是，在100米内,很少,从未有过,非常愿意,影响店面卫生,水电补贴,
471,132,社区周边商户,41岁及以上,药店/诊所,否,是，经常来,经常有,非常愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",
472,319,社区周边商户,31-40岁,便利店/小超市,否,偶尔来,很少有,不愿意,"安全责任问题,影响店面卫生","水电补贴,平台流量曝光",
475,523,社区周边商户,25-30岁,便利店/小超市,是，就在小区门口,偶尔来,很少有,非常愿意,"安全责任问题,影响店面卫生",平台流量曝光,
479,554,社区周边商户,41岁及以上,便利店/小超市,是，就在小区门口,偶尔来,经常有,非常愿意,影响店面卫生,"平台流量曝光,水电补贴",
496,358,社区周边商户,25-30岁,餐饮店,否,是，经常来,很少有,非常愿意,安全责任问题,水电补贴,
511,760,社区周边商户,25-30岁,其他服务店,是，就在小区门口,是，经常来,从未有过,可以考虑,"安全责任问题,影响店面卫生",平台流量曝光,
531,144,社区周边商户,31-40岁,餐饮店,是，就在小区门口,偶尔来,经常有,不愿意,"安全责任问题,影响店面卫生","平台流量曝光,水电补贴",
541,370,社区周边商户,41岁及以上,餐饮店,是，就在小区门口,是，经常来,很少有,不愿意,"安全责任问题,影响店面卫生",平台流量曝光,
543,213,社区周边商户,41岁及以上,便利店/小超市,否,很少,很少有,不愿意,"影响店面卫生,安全责任问题",水电补贴,
549,455,社区周边商户,25-30岁,便利店/小超市,是，就在小区门口,很少,偶尔有,可以考虑,影响店面卫生,"水电补贴,平台流量曝光",
560,480,社区周边商户,41岁及以上,餐饮店,是，就在小区门口,偶尔来,偶尔有,非常愿意,"影响店面卫生,安全责任问题","水电补贴,平台流量曝光",
