ID,Duration,Role,Age_Group,See_Rider_Freq,Attitude_Street_Rest,Overall_Attitude,NIMBY_Sensitivity,Resident_Concern_M,Mgmt_Principle_M,Discussion_Will,Resident_Suggest_Open,Reside_Duration
1,369,社区居民,18-24岁,经常看到,不希望聚集,比较支持,是,充电消防隐患,"物业监督,禁止吸烟",无所谓,,少于1年
10,794,社区居民,18-24岁,很少看到,不希望聚集,非常支持,否,噪音/卫生问题,物业监督,愿意,,少于1年
12,819,社区居民,25-30岁,偶尔看到,不希望聚集,比较支持,是,"噪音/卫生问题,充电消防隐患","禁止吸烟,物业监督",无所谓,,5年以上
14,63,社区居民,41岁及以上,很少看到,没感觉,比较支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,,1-5年
17,167,社区居民,18-24岁,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,5年以上
18,133,社区居民,18-24岁,偶尔看到,觉得辛苦,非常支持,是,充电消防隐患,"禁止吸烟,物业监督",愿意,,1-5年
19,402,社区居民,25-30岁,偶尔看到,影响美观,比较支持,否,"充电消防隐患,噪音/卫生问题",物业监督,愿意,,1-5年
21,172,社区居民,31-40岁,很少看到,没感觉,中立,否,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,少于1年
30,904,社区居民,18-24岁,偶尔看到,不希望聚集,不太支持,是,"噪音/卫生问题,充电消防隐患","物业监督,禁止吸烟",无所谓,,少于1年
34,226,社区居民,18-24岁,很少看到,不希望聚集,中立,是,噪音/卫生问题,禁止吸烟,无所谓,,1-5年
40,116,社区居民,25-30岁,很少看到,不希望聚集,中立,是,"充电消防隐患,噪音/卫生问题","物业监督,禁止吸烟",无所谓,,5年以上
47,396,社区居民,25-30岁,很少看到,觉得辛苦,中立,是,充电消防隐患,物业监督,无所谓,,少于1年
54,370,社区居民,18-24岁,经常看到,不希望聚集,不太支持,是,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",愿意,,1-5年
55,263,社区居民,25-30岁,经常看到,影响美观,非常支持,是,充电消防隐患,物业监督,愿意,,5年以上
56,159,社区居民,25-30岁,经常看到,不希望聚集,不太支持,否,"充电消防隐患,噪音/卫生问题","禁止吸烟,物业监督",无所谓,,1-5年
62,238,社区居民,25-30岁,很少看到,没感觉,非常支持,否,充电消防隐患,"禁止吸烟,物业监督",愿意,,1-5年
68,443,社区居民,18-24岁,很少看到,觉得辛苦,比较支持,是,充电消防隐患,"禁止吸烟,物业监督",不太愿意,,5年以上
70,732,社区居民,25-30岁,经常看到,没感觉,非常支持,否,充电消防隐患,禁止吸烟,无所谓,,5年以上
