Resident_Suggest_Open,Age_Group_Code,See_Rider_Freq_Code,Overall_Attitude_Code,NIMBY_Sensitivity_Code,Discussion_Will_Code,Reside_Duration_Code,StreetRest_不希望聚集,StreetRest_影响美观,StreetRest_没感觉,StreetRest_觉得辛苦,ResConcern_充电消防隐患,ResConcern_噪音/卫生问题,MgmtRule_物业监督,MgmtRule_禁止吸烟
,1,3,4,1,3,1,True,False,False,False,1,0,1,1
,1,1,5,0,4,1,True,False,False,False,0,1,1,0
,2,2,4,1,3,3,True,False,False,False,1,1,1,1
,1,1,3,0,4,3,False,False,True,False,1,1,1,0
,2,2,4,0,4,2,False,True,False,False,1,1,1,0
,3,1,3,0,3,1,False,False,True,False,1,1,1,1
,1,2,2,1,3,1,True,False,False,False,1,1,1,1
,1,1,3,1,3,2,True,False,False,False,0,1,0,1
,2,1,3,1,3,1,False,False,False,True,1,0,1,0
,1,3,2,1,4,2,True,False,False,False,1,1,1,1
,2,3,5,1,4,3,False,True,False,False,1,0,1,0
,2,3,2,0,3,2,True,False,False,False,1,1,1,1
,2,1,5,0,4,2,False,False,True,False,1,0,1,1
,1,1,4,1,2,3,False,False,False,True,1,0,1,1
,2,3,5,0,3,3,False,False,True,False,1,0,0,1
,2,3,5,1,4,1,False,False,True,False,1,0,0,1
,4,3,2,0,2,3,False,True,False,False,1,0,1,1
,3,3,3,1,2,2,False,False,True,False,1,1,0,1
,3,1,3,1,2,2,False,False,True,False,0,1,0,1
,3,2,2,1,3,1,False,True,False,False,1,1,1,1
,1,2,3,1,2,1,False,False,False,True,0,1,0,1
,1,3,5,1,3,3,False,False,False,True,1,1,1,0
,3,3,3,0,2,2,False,False,False,True,1,1,1,0
,3,3,5,1,2,1,False,False,True,False,1,1,1,0
,4,2,3,0,2,1,False,False,True,False,1,1,1,1
,3,1,4,1,3,2,True,False,False,False,1,0,0,1
,2,2,4,0,2,1,False,True,False,False,1,1,0,1
,1,3,5,0,4,1,True,False,False,False,1,1,1,1
,2,3,2,1,3,2,False,True,False,False,0,1,1,0
,2,2,2,0,3,2,False,True,False,False,1,1,0,1
,3,2,4,1,3,3,False,True,False,False,0,1,1,0
,3,1,5,0,3,1,False,False,True,False,1,1,0,1
,4,3,3,1,2,2,False,False,False,True,0,1,1,1
,1,3,4,1,4,3,False,False,True,False,1,1,1,1
,3,1,2,1,3,1,False,False,True,False,1,1,1,1
,4,1,3,1,3,3,False,False,True,False,1,0,1,1
,1,1,5,1,2,2,False,False,False,True,0,1,1,0
,4,3,5,0,3,2,False,False,False,True,1,1,1,1
,2,3,4,0,4,1,False,False,True,False,1,1,1,0
,3,3,4,1,3,2,False,True,False,False,1,1,1,0
,2,1,2,1,2,1,False,False,True,False,1,1,0,1
,4,2,3,0,2,2,False,False,True,False,1,1,0,1
,2,3,4,1,2,3,False,False,True,False,1,1,1,1
,3,3,3,1,4,3,False,True,False,False,1,0,1,1
,2,2,4,0,3,1,False,False,False,True,1,0,1,1
,2,2,5,1,4,2,True,False,False,False,1,1,0,1
,2,1,2,0,2,3,False,False,False,True,1,1,1,1
,2,1,3,0,2,3,False,False,True,False,0,1,1,1
,1,3,4,1,4,3,False,True,False,False,1,1,1,0
,2,1,5,1,3,1,False,False,True,False,1,0,1,0
,2,3,5,0,2,3,False,False,False,True,0,1,1,1
,2,2,4,0,4,3,False,True,False,False,1,1,1,1
,1,1,5,1,3,1,False,True,False,False,1,1,1,1
,2,3,2,0,3,1,False,False,False,True,1,0,1,1
,4,2,5,1,4,2,False,True,False,False,1,0,1,1
,1,2,3,0,4,2,False,False,True,False,1,1,0,1
,1,3,5,0,2,3,False,True,False,False,0,1,1,1
,2,3,2,1,2,1,False,True,False,False,0,1,1,1
,4,2,3,0,3,3,True,False,False,False,1,0,1,1
,3,3,4,0,2,1,False,False,True,False,1,1,1,0
,4,2,4,1,4,1,False,False,True,False,1,0,1,1
,4,3,5,0,2,1,False,False,True,False,1,1,1,0
,3,2,5,1,2,2,False,True,False,False,1,1,1,0
,1,1,5,1,4,1,False,False,False,True,1,0,1,1
,4,3,4,0,4,1,False,False,False,True,1,1,1,1
,2,1,4,0,2,3,False,False,True,False,1,1,0,1
,3,1,5,0,3,1,False,False,False,True,1,1,1,1
,4,2,3,0,4,2,False,False,True,False,0,1,0,1
,3,3,3,1,2,2,False,False,False,True,0,1,1,1
,1,3,4,1,2,3,True,False,False,False,1,0,1,0
,3,3,4,0,3,1,False,False,True,False,1,0,0,1
,1,2,4,0,2,3,False,False,True,False,1,1,1,1
,2,1,3,0,2,3,False,False,True,False,1,0,0,1
,2,2,4,1,3,3,False,True,False,False,1,0,1,0
,1,1,2,1,3,1,False,True,False,False,0,1,1,1
,1,1,4,0,2,3,False,True,False,False,1,0,1,1
,1,3,4,1,2,2,False,False,True,False,0,1,1,1
,4,2,5,1,4,2,False,False,True,False,1,1,1,1
,1,2,3,1,3,2,False,False,True,False,1,0,1,0
,2,3,3,0,2,2,True,False,False,False,0,1,1,1
,2,3,5,1,3,3,False,False,True,False,0,1,0,1
,1,2,3,0,3,3,True,False,False,False,1,1,1,1
,3,2,2,0,4,2,False,False,False,True,1,0,0,1
,3,2,4,1,4,3,False,False,False,True,0,1,0,1
,4,1,3,0,3,2,False,False,True,False,1,1,1,0
,2,2,5,0,3,1,False,False,True,False,1,1,1,0
,1,1,2,1,3,1,False,False,False,True,1,1,1,1
,3,1,3,0,2,1,True,False,False,False,1,1,1,1
,1,2,4,1,4,2,False,False,True,False,1,1,1,1
,2,1,2,0,3,2,False,False,True,False,1,1,1,1
,4,1,5,0,3,1,False,False,False,True,1,0,1,0
,4,1,5,1,3,2,True,False,False,False,0,1,1,1
,3,2,4,1,3,3,False,False,True,False,1,0,0,1
,3,2,2,1,2,3,False,False,False,True,1,0,1,0
,1,1,3,1,4,2,False,True,False,False,1,1,1,1
,1,2,2,1,2,2,False,True,False,False,1,0,1,1
,4,2,3,0,2,3,False,False,True,False,1,1,1,0
,3,3,3,0,2,2,False,True,False,False,1,1,1,0
,3,3,4,0,4,2,True,False,False,False,1,1,1,1
,1,2,4,1,3,3,False,False,False,True,1,1,1,1
,3,2,5,0,2,1,True,False,False,False,1,1,1,0
,1,2,5,1,3,2,True,False,False,False,1,1,1,1
,4,1,3,1,3,1,False,False,True,False,1,1,1,0
,1,3,4,0,4,3,True,False,False,False,1,1,1,1
,4,3,5,1,4,2,False,False,True,False,0,1,1,1
,1,1,4,1,4,2,True,False,False,False,1,1,1,0
,3,1,3,0,4,3,False,False,True,False,1,1,1,1
,2,1,3,0,2,1,True,False,False,False,1,0,1,0
,3,3,4,1,4,3,False,False,False,True,1,1,1,0
,3,3,4,0,3,1,False,False,False,True,1,1,0,1
,1,3,5,1,4,3,False,False,True,False,0,1,0,1
,2,2,2,1,3,1,False,True,False,False,1,1,1,1
,2,1,4,0,3,1,False,False,False,True,1,1,1,1
,3,1,5,0,4,1,False,False,False,True,1,0,1,0
,4,3,2,0,3,3,False,True,False,False,0,1,1,1
,2,3,5,1,2,1,False,False,True,False,1,1,1,1
,3,2,2,1,2,2,False,False,False,True,1,1,0,1
,2,3,5,1,2,2,True,False,False,False,1,0,1,0
,1,2,2,1,4,3,False,False,True,False,1,1,1,1
,2,1,3,0,2,3,False,False,False,True,0,1,1,1
,4,1,4,0,4,2,False,True,False,False,1,1,0,1
,3,3,3,1,4,2,False,False,False,True,1,0,1,1
,3,3,3,0,2,2,False,False,False,True,1,0,1,0
,3,2,2,1,2,3,False,False,False,True,1,1,0,1
,1,3,5,1,4,2,True,False,False,False,1,1,1,1
,1,2,4,1,3,1,False,False,False,True,1,1,1,1
,3,1,4,0,4,3,False,False,False,True,1,1,1,0
,3,3,4,1,2,2,False,False,False,True,1,0,1,1
,1,3,4,0,2,2,False,True,False,False,1,1,1,1
,2,2,4,0,4,2,False,True,False,False,1,1,1,0
,1,3,4,1,4,3,False,True,False,False,1,1,1,0
,4,3,3,1,2,2,False,False,False,True,0,1,1,1
,2,2,4,1,3,3,True,False,False,False,1,1,1,1
,2,1,5,1,3,1,False,False,True,False,1,0,1,0
,2,2,4,0,4,3,False,True,False,False,1,1,1,1
,4,1,3,0,3,2,False,False,True,False,1,1,1,0
,3,2,2,1,2,3,False,False,False,True,1,1,0,1
,3,1,5,0,3,1,False,False,True,False,1,1,0,1
,1,1,3,0,4,3,False,False,True,False,1,1,1,0
,1,1,5,1,2,2,False,False,False,True,0,1,1,0
,2,1,2,0,3,2,False,False,True,False,1,1,1,1
,3,3,4,0,3,1,False,False,True,False,1,0,0,1
,4,2,5,1,4,2,False,True,False,False,1,0,1,1
,1,2,5,1,4,2,False,False,False,True,1,0,1,1
,3,2,4,1,3,3,False,True,False,False,0,1,1,0
,1,2,4,1,3,3,False,False,False,True,1,1,1,1
,2,3,5,1,3,3,False,False,True,False,0,1,0,1
,1,1,5,1,4,1,False,False,False,True,1,0,1,1
,2,2,5,1,4,2,True,False,False,False,1,1,0,1
,2,3,5,1,2,1,False,False,True,False,1,1,1,1
,3,1,4,1,3,2,True,False,False,False,1,0,0,1
,4,3,2,0,3,3,False,True,False,False,0,1,1,1
,1,3,2,1,4,2,True,False,False,False,1,1,1,1
