Q23_运营顾虑_开放,Q33_商户具体想法_开放,Q41_居民建议建议_开放
暂无,没想法,物业必须要尽到监管的责任，不能建完就不管了。
-,1,跳过
不要弄那些虚的，能充电能上厕所就是最实用的,不知道,1
没,暂无,没啥
看情况,没啥,没想法
没想法,跳过,-
暂无,公益是好事，但不能只让商户出钱出力吧。,没
没有,无,没有
没,可以的,没想法
没有,跳过,1
。,无,不知道
没啥,没有,看情况
最好能有个急救箱，平时磕磕碰碰能处理一下。,-,没有
无意见,跳过,无
找个公共厕所太难了，经常憋着。,没啥,无意见
能有个躺椅稍微眯一会真的很需要。,没,。
没有,不知道,不知道
。,没想法,-
没,。,最好建在便利店旁边
不需要搞得多高大上，实用最重要。,无,没想法
-,1,-
里面要是能卖点平价水就好了。,无意见,暂无
没想法,没有,没有
支持,。,没
1,。,没
无意见,没想法,跳过
暂无,充电的安全问题一定要搞清楚，起火了谁负责？,没啥
没啥,暂无,可以的
充电插座不够用，有时候还得排队。,不知道,-
。,1,没有
没有,-,无
没想法,。,暂无
没啥,不知道,无
无,-,没有
无意见,不知道,1
没,没啥,没想法
没遇到,1,跳过
暂无,没有,跳过
跳过,1,没啥
不知道,不知道,没有
没啥,-,没有
暂无,。,1
没,无意见,1
暂无,希望平台能给我们这些合作商家减免点抽成。,没有
1,。,不知道
。,怕就怕到时候一堆电瓶车把门面堵死了。,没有
别建在小区里面，保安大叔不让进的。,暂无,没
1,暂无,跳过
无,无,跳过
无意见,但是别大吵大闹影响别的顾客堂食,1
无意见,跳过,同意
没,暂无,无
没想法,没啥,没啥
无,没想法,1
。,没,无
希望能多一些能趴着睡会的桌子。,没有,没
没有,没遇到,跳过
没想法,暂无,没想法
没想法,无,可以的
还行,无意见,暂无
还行,暂无,无意见
不知道,不知道,无意见
没有,无,1
没想法,我们店面积太小了，实在腾不出地方搞这个。,没有
没有,。,无意见
-,没有,暂无
-,无意见,。
挺好的,不知道,。
无意见,不知道,没
无意见,没有,最好弄成独立的集装箱那种，和其他区域隔开。
没啥,看情况,无意见
还行,暂无,不知道
看情况,。,1
无,没有,不知道
无意见,无,无
没,不知道,无意见
没,可以的,。
没有,没啥,没
-,没想法,。
没,无,无意见
-,无,别弄个烂摊子最后没人管
暂无,不知道,没有
-,。,只要不占用小区的公共绿化和车位就行。
跳过,支持是支持，但最好别把垃圾扔的到处都是。,没啥
暂无,没,没
跳过,无,-
跳过,别在店里大声说话或者抽烟就行，影响其他客人。,没啥
有些驿站太偏僻了，送单根本不顺路。,无意见,没
能不能在商场附近多搞几个？那边最累。,没有,跳过
无,如果美团能给点线上流量我就干,暂无
1,-,无意见
如果能在这个地方拿到商家的单子就好了。,暂无,暂无
暂无,跳过,-
没有,无意见,-
不知道,不知道,。
-,只要不影响我们正常做生意，其实我是支持的。,没有
无意见,没,看情况
无,没有,还行
没啥,最好能有个统一的标识，也算帮我们做宣传了。,跳过
支持,跳过,没想法
无,没啥,跳过
。,不知道,没啥
没啥,没啥,还行
不知道,-,没想法
-,支持,没啥
冬天太冷，能有个地方喝口热水就行。,。,无意见
不知道,跳过,没啥
没,暂无,跳过
可以的,不知道,没啥
希望里面的插座是那种快充的,没想法,没想法
无意见,跳过,无
无意见,无意见,没想法
没想法,不知道,1
暂无,。,1
希望能有个微波炉,没啥,没
看情况,。,不知道
还行,没有,暂无
没遇到,暂无,没
暂无,1,没想法
希望能多建一点，现在覆盖率太低了。,没有,1
不知道,没想法,暂无
没啥,没啥,跳过
不知道,没啥,无
里面能弄点免费的茶水吗，渴死,没有,跳过
没啥,。,1
暂无,没有,1
1,不知道,。
。,没想法,1
没想法,没啥,支持便民设施，但最好建在小区大门外面。
跳过,大家都不容易，能提供个歇脚的地方挺好,。
没,没啥,1
暂无,不知道,无意见
希望对所有平台的小哥都开放，别搞歧视。,。,1
